Sample_ID	Species	Data_source	Biosample_type	Tissue_type	Biosample_name	Case_ID_Name	Input_ID_Name
SE_00_0001	Human	Roadmap	Tissue	Adipose	adipose-tissue	ENCSR082SHT	ENCSR163VJS
SE_00_0003	Human	Roadmap	Tissue	Adrenal gland	adrenal-gland_97d	ENCSR847AIA	ENCSR960VLF
SE_00_0004	Human	Roadmap	Tissue	Aorta	aorta	ENCSR322TJD	ENCSR116QUS
SE_00_0005	Human	Roadmap	Primary cell	Blood	B-cell	ENCSR191ZQT	ENCSR300ZUS
SE_00_0006	Human	Roadmap	Primary cell	Blood	CD14-positive-monocyte	ENCSR012PII	ENCSR444GJM
SE_00_0007	Human	Roadmap	Primary cell	Blood	naive thymus-derived CD4-positive,alpha-beta T cell	ENCSR674VPA	ENCSR355RJN
SE_00_0008	Human	Roadmap	Primary cell	Blood	CD4-positive-alpha-beta-memory-T-cell	ENCSR314BEX	ENCSR595SMV
SE_00_0009	Human	Roadmap	Primary cell	Blood	CD8-positive-alpha-beta-T-cell	ENCSR007HLH	ENCSR247BVB
SE_00_0010	Human	Roadmap	In vitro differentiated cell	Embryo	endodermal-cell	ENCSR200ETW	ENCSR650EVQ
SE_00_0011	Human	Roadmap	Tissue	Esophagus	esophagus	ENCSR679OVD	ENCSR161JTT
SE_00_0012	Human	Roadmap	Stem cell	Embryo	H1-hESC	ENCSR880SUY	ENCSR569NEE
SE_00_0013	Human	Roadmap	Stem cell	Embryo	H9	ENCSR876RGF	ENCSR214MNL
SE_00_0014	Human	Roadmap	Tissue	Heart left ventricle	heart-left-ventricle	ENCSR458RRZ	ENCSR961QMI
SE_00_0015	Human	Roadmap	Cell line	Lung	IMR-90	ENCSR002YRE	ENCSR001BSB
SE_00_0016	Human	Roadmap	Induced pluripotent stem cell line	Foreskin	iPS-DF-19.11	ENCSR505OPZ	ENCSR086NVH
SE_00_0017	Human	Roadmap	Induced pluripotent stem cell line	Foreskin	iPS-DF-6.9	ENCSR875QDS	ENCSR212SJH
SE_00_0018	Human	Roadmap	Induced pluripotent stem cell line	Dermal fibroblasts	iPS-18axian	ENCSR429YAE	ENCSR580WGM
SE_00_0019	Human	Roadmap	Induced pluripotent stem cell line	Dermal fibroblasts	iPS-20b	ENCSR729GQT	ENCSR895CJW
SE_00_0020	Human	Roadmap	Tissue	Large intestine	large-intestine_108d	ENCSR659RHV	ENCSR107RQX
SE_00_0021	Human	Roadmap	Tissue	Lung	lung_3y	ENCSR550WUX	ENCSR577BCL
SE_00_0022	Human	Roadmap	Tissue	Lung	lung_30y	ENCSR540ADS	ENCSR061VJM
SE_00_0023	Human	Roadmap	In vitro differentiated cell	Embryo	mesenchymal-stem-cell	ENCSR013KEC	ENCSR843OBM
SE_00_0024	Human	Roadmap	In vitro differentiated cell	Embryo	mesendoderm	ENCSR473PNT	ENCSR810RRR
SE_00_0025	Human	Roadmap	Tissue	Muscle of leg	muscle-of-leg	ENCSR687ZCM	ENCSR449RSE
SE_00_0026	Human	Roadmap	Tissue	Muscle of trunk	muscle-of-trunk	ENCSR775FTU	ENCSR639HUV
SE_00_0027	Human	Roadmap	Primary cell	Blood	natural-killer-cell	ENCSR391EQV	ENCSR726FHN
SE_00_0029	Human	Roadmap	Tissue	Ovary	ovary	ENCSR268JQE	ENCSR674QIU
SE_00_0030	Human	Roadmap	Tissue	Pancreas	pancreas	ENCSR612BWE	ENCSR503BIB
SE_00_0031	Human	Roadmap	Tissue	Placenta	placenta	ENCSR498ZRC	ENCSR278VUZ
SE_00_0032	Human	Roadmap	Tissue	Psoas muscle	psoas-muscle_30y	ENCSR250NHD	ENCSR139WMA
SE_00_0033	Human	Roadmap	Tissue	Psoas muscle	psoas-muscle_3y	ENCSR367WYJ	ENCSR163UEW
SE_00_0034	Human	Roadmap	Tissue	Right cardiac atrium	right-cardiac-atrium	ENCSR074ECR	ENCSR652ULP
SE_00_0035	Human	Roadmap	Tissue	Sigmoid colon	sigmoid-colon	ENCSR561YSH	ENCSR574WQE
SE_00_0036	Human	Roadmap	Tissue	Small intestine	small-intestine_108days	ENCSR892XFG	ENCSR541DBO
SE_00_0038	Human	Roadmap	Tissue	Spinal cord	spinal-cord_108d	ENCSR209QGZ	ENCSR113XPE
SE_00_0039	Human	Roadmap	Tissue	Spleen	spleen_3y	ENCSR170MAJ	ENCSR652ZLE
SE_00_0040	Human	Roadmap	Tissue	Spleen	spleen_30y	ENCSR086XCT	ENCSR563OLJ
SE_00_0041	Human	Roadmap	Tissue	Stomach	stomach_3y	ENCSR437QMD	ENCSR628GIZ
SE_00_0042	Human	Roadmap	Tissue	Stomach	stomach_30y	ENCSR582UTE	ENCSR975PED
SE_00_0043	Human	Roadmap	Tissue	Stomach	stomach_96d	ENCSR743DDX	ENCSR927MXE
SE_00_0044	Human	Roadmap	Primary cell	Cord blood	T-cell	ENCSR222QLW	ENCSR930RIA
SE_00_0045	Human	Roadmap	Tissue	Thymus	thymus	ENCSR776KLS	ENCSR064RLF
SE_00_0046	Human	Roadmap	Tissue	Heart	right ventricle_34y	ENCSR928HSI	ENCSR049LCN
SE_00_0047	Human	Roadmap	Primary cell	Blood	effector memory CD4+ alpha-beta T cell	ENCSR892HPQ	ENCSR563SVE
SE_00_0048	Human	Roadmap	In vitro differentiated cell	Embryo	neuronal stem cell originated from H1	ENCSR799SRL	ENCSR339WBT
SE_00_0049	Human	Roadmap	Tissue	Small intestine	small intestine 30y	ENCSR655XLM	ENCSR461VPV
SE_00_0050	Human	Roadmap	Tissue	Esophagus	esophagus_30y	ENCSR645SYH	ENCSR858ROP
SE_00_0051	Human	Roadmap	Tissue	Adrenal gland	adrenal gland 30y	ENCSR642HHF	ENCSR799TWV
SE_00_0052	Human	Roadmap	Tissue	Heart	left ventricle 3y	ENCSR557DFM	ENCSR694AEQ
SE_00_0053	Human	Roadmap	In vitro differentiated cell	Embryo	trophoblast cell originated from H1	ENCSR425PQI	ENCSR890MJO
SE_00_0054	Human	Roadmap	Tissue	Pancreas	pancreas 30y	ENCSR402HFW	ENCSR480NNC
SE_00_0055	Human	Roadmap	Tissue	Spleen	spleen 34y	ENCSR235ZBF	ENCSR239LAP
SE_00_0056	Human	Roadmap	Tissue	Sigmoid colon	sigmoid colon 3y	ENCSR213SMK	ENCSR780UWK
SE_00_0057	Human	Roadmap	Tissue	Heart	right ventricle 3y	ENCSR028NXO	ENCSR592KRF
SE_00_0058	Human	Roadmap	Tissue	Stomach	stomach 34y	ENCSR001SHB	ENCSR854GEV
SE_01_0001	Human	ENCODE	Cell line	Prostate	22Rv1	ENCSR391NPE	ENCSR933UGQ
SE_01_0002	Human	ENCODE	Cell line	Prostate	22Rv1_10nM17beta-hydroxy-5alpha-androstan-3-one	ENCSR777CQW	ENCSR933UGQ
SE_01_0006	Human	ENCODE	Cell line	Lung	A549_ethanol_1h	ENCSR000AUI	ENCSR000ASS
SE_01_0012	Human	ENCODE	Cell line	Lung	A549_dexamethasone_1h	ENCSR000AVF	ENCSR000ASR
SE_01_0017	Human	ENCODE	Cell line	Muscle	A673	ENCSR714TJD	ENCSR196CXJ
SE_01_0018	Human	ENCODE	Cell line	Submandibular Salivary Gland	ACC112	ENCSR059MVB	ENCSR836XKP
SE_01_0019	Human	ENCODE	Primary cell	Brain and spinal cord	astrocyte	ENCSR000AOQ	ENCSR000AOP
SE_01_0020	Human	ENCODE	Primary cell	Blood	B-cell	ENCSR000AUP	ENCSR000AUW
SE_01_0021	Human	ENCODE	In vitro differentiated cell	Skin	bipolar-neuron	ENCSR905TYC	ENCSR001KCX
SE_01_0022	Human	ENCODE	Cell line	Prostate	C4-2B	ENCSR279KIX	ENCSR585FQO
SE_01_0023	Human	ENCODE	In vitro differentiated cell	Embryo	cardiac-muscle-cell	ENCSR000NPF	ENCSR867SJE
SE_01_0024	Human	ENCODE	Primary cell	Blood	CD14-positive-monocyte	ENCSR000ASJ	ENCSR000AUU
SE_01_0025	Human	ENCODE	Cell line	Haematopoietic and lymphoid tissue blood	DND-41	ENCSR000AQW	ENCSR000ASA
SE_01_0026	Human	ENCODE	Primary cell	Umbilical vein	endothelial-cell-of-umbilical-vein	ENCSR000ALB	ENCSR000ALG
SE_01_0027	Human	ENCODE	Primary cell	Prostate	epithelial-cell-of-prostate	ENCSR910PDW	ENCSR131SEB
SE_01_0029	Human	ENCODE	Primary cell	Lung	fibroblast-of-lung	ENCSR000DPL	ENCSR000DPN
SE_01_0030	Human	ENCODE	Cell line	Haematopoietic and lymphoid tissue blood	GM12878	ENCSR000AKC	ENCSR000AKJ
SE_01_0031	Human	ENCODE	Induced pluripotent stem cell line	Skin	GM23338	ENCSR729ENO	ENCSR773IYZ
SE_01_0033	Human	ENCODE	Stem cell	Embryo	H9	ENCSR566DVZ	ENCSR625CEM
SE_01_0034	Human	ENCODE	Cell line	Colon	HCT116	ENCSR661KMA	ENCSR198WIH
SE_01_0036	Human	ENCODE	Cell line	Cervix	HeLa-S3	ENCSR000AOC	ENCSR000AOB
SE_01_0037	Human	ENCODE	In vitro differentiated cell	Liver	hepatocyte	ENCSR507UDH	ENCSR107PGG
SE_01_0038	Human	ENCODE	Cell line	Liver	HepG2	ENCSR000AMO	ENCSR055XHN
SE_01_0039	Human	ENCODE	Cell line	Haematopoietic and lymphoid tissue bone marrow	K562	ENCSR000AKP	ENCSR000AKY
SE_01_0040	Human	ENCODE	Cell line	Haematopoietic and lymphoid tissue	Karpas-422	ENCSR660IQS	ENCSR367UDO
SE_01_0041	Human	ENCODE	Primary cell	Skin	keratinocyte	ENCSR000ALK	ENCSR000ALS
SE_01_0042	Human	ENCODE	Cell line	Haematopoietic and lymphoid tissue	KMS-11	ENCSR955IXZ	ENCSR720GSE
SE_01_0043	Human	ENCODE	Cell line	Blood	KOPT-K1	ENCSR719FEJ	ENCSR255BOF
SE_01_0044	Human	ENCODE	Cell line	Haematopoietic and lymphoid tissue	Loucy	ENCSR566GSO	ENCSR648HLP
SE_01_0045	Human	ENCODE	Primary cell	Mammary gland	mammary-epithelial-cell	ENCSR000ALW	ENCSR000AMN
SE_01_0046	Human	ENCODE	Cell line	Mammary gland	MCF-7	ENCSR752UOD	ENCSR768LHG
SE_01_0047	Human	ENCODE	In vitro differentiated cell	Embryo	mid-neurogenesis-radial-glial-cells	ENCSR092TTO	ENCSR287XMW
SE_01_0048	Human	ENCODE	Cell line	Peripheral blood	MM.1S	ENCSR758OEC	ENCSR264HOB
SE_01_0050	Human	ENCODE	In vitro differentiated cell	Embryo	neural-cell	ENCSR124VOE	ENCSR308JFE
SE_01_0051	Human	ENCODE	In vitro differentiated cell	Embryo	neural-progenitor-cell	ENCSR449AXO	ENCSR603SVD
SE_01_0052	Human	ENCODE	Primary cell	Blood	neutrophil	ENCSR267YXV	ENCSR557RDB
SE_01_0053	Human	ENCODE	Cell line	Haematopoietic and lymphoid tissue	OCI-LY1	ENCSR597UDW	ENCSR569IIN
SE_01_0054	Human	ENCODE	Cell line	Haematopoietic and lymphoid tissue	OCI-LY3	ENCSR857GMX	ENCSR361GKY
