experiment_accession	is_control	matched_control_experiments	controlled_by_files	control_type	assay_title	description	lab	award	date_released	status_exp	dbxrefs	life_stage_age	perturbed	donor_accession	donor_sex	donor_life_stage	donor_age	donor_age_units	donor_ethnicity	organism	biosample_term_id	biosample_term_name	classification	organ_slims	cell_slims	developmental_slims	system_slims	biosample_synonyms	target_label	target_title	file_accession	file_format	output_type	assembly	run_type	paired_end	paired_accession	md5sum	file_status	file_size	platform	bio_replicate_count	tech_replicate_count	biological_replicates	technical_replicates	biological_replicates_formatted	replication_type	url	fastq_1	fastq_2	url_r2	md5sum_r2	file_size_r2	file_accession_r2	single_end
ENCSR000AKC	False	ENCSR000AKJ	ENCFF000ARK		Histone ChIP-seq	Homo sapiens GM12878	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	SCREEN-GRCh38:GM12878,GEO:GSM733771,UCSC-ENCODE-hg19:wgEncodeEH000030		False	ENCDO000AAK	female	adult			European	Homo sapiens	EFO:0002784	GM12878	cell line	bodily fluid,blood	leukocyte,hematopoietic cell,B cell	mesoderm	immune system		H3K27ac	H3K27ac (Homo sapiens)	ENCFF000ASU	fastq	reads		single-ended			7e38053516168dbfb19459a18ab8ed49	released	1371825809	Illumina Genome Analyzer IIe	2	2	1	1_1	Rep 1	isogenic	https://www.encodeproject.org/files/ENCFF000ASU/@@download/ENCFF000ASU.fastq.gz	https://www.encodeproject.org/files/ENCFF000ASU/@@download/ENCFF000ASU.fastq.gz						true
ENCSR000AKC	False	ENCSR000AKJ	ENCFF000ARO		Histone ChIP-seq	Homo sapiens GM12878	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	SCREEN-GRCh38:GM12878,GEO:GSM733771,UCSC-ENCODE-hg19:wgEncodeEH000030		False	ENCDO000AAK	female	adult			European	Homo sapiens	EFO:0002784	GM12878	cell line	bodily fluid,blood	leukocyte,hematopoietic cell,B cell	mesoderm	immune system		H3K27ac	H3K27ac (Homo sapiens)	ENCFF000ASP	fastq	reads		single-ended			4eee99ddced4d5e551ed8f8233a41d1f	released	464509823	Illumina Genome Analyzer IIe	2	2	2	2_1	Rep 2	isogenic	https://www.encodeproject.org/files/ENCFF000ASP/@@download/ENCFF000ASP.fastq.gz	https://www.encodeproject.org/files/ENCFF000ASP/@@download/ENCFF000ASP.fastq.gz						true
ENCSR000AKP	False	ENCSR000AKY	ENCFF000BWK		Histone ChIP-seq	Homo sapiens K562	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	UCSC-ENCODE-hg19:wgEncodeEH000043,SCREEN-GRCh38:K562,GEO:GSM733656	adult 53 years	False	ENCDO000AAD	female	adult	53	year		Homo sapiens	EFO:0002067	K562	cell line	bodily fluid,blood	leukocyte,hematopoietic cell,cancer cell	mesoderm	immune system	K-562,K-562 cell, K562 cell	H3K27ac	H3K27ac (Homo sapiens)	ENCFF000BXH	fastq	reads		single-ended			d67a5b89fdb3a62487dba490eea901c6	released	819792977	Illumina Genome Analyzer II	3	4	1	1_1	Rep 1	isogenic	https://www.encodeproject.org/files/ENCFF000BXH/@@download/ENCFF000BXH.fastq.gz	https://www.encodeproject.org/files/ENCFF000BXH/@@download/ENCFF000BXH.fastq.gz						true
ENCSR000AKP	False	ENCSR000AKY	ENCFF000BWK		Histone ChIP-seq	Homo sapiens K562	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	UCSC-ENCODE-hg19:wgEncodeEH000043,SCREEN-GRCh38:K562,GEO:GSM733656	adult 53 years	False	ENCDO000AAD	female	adult	53	year		Homo sapiens	EFO:0002067	K562	cell line	bodily fluid,blood	leukocyte,hematopoietic cell,cancer cell	mesoderm	immune system	K-562,K-562 cell, K562 cell	H3K27ac	H3K27ac (Homo sapiens)	ENCFF000BXG	fastq	reads		single-ended			e0c82ddaa55b39d4c4857243d77119e3	released	519905535	Illumina Genome Analyzer IIe	3	4	2	2_1	Rep 2	isogenic	https://www.encodeproject.org/files/ENCFF000BXG/@@download/ENCFF000BXG.fastq.gz	https://www.encodeproject.org/files/ENCFF000BXG/@@download/ENCFF000BXG.fastq.gz						true
ENCSR000AKP	False	ENCSR000AKY			Histone ChIP-seq	Homo sapiens K562	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	UCSC-ENCODE-hg19:wgEncodeEH000043,SCREEN-GRCh38:K562,GEO:GSM733656	adult 53 years	False	ENCDO000AAD	female	adult	53	year		Homo sapiens	EFO:0002067	K562	cell line	bodily fluid,blood	leukocyte,hematopoietic cell,cancer cell	mesoderm	immune system	K-562,K-562 cell, K562 cell	H3K27ac	H3K27ac (Homo sapiens)	ENCFF143EVF	fastq	reads		single-ended			f4f3177132a8b74463804eed3db40312	released	1225268299	Illumina HiSeq 2500	3	4	3	3_1	Rep 3	isogenic	https://www.encodeproject.org/files/ENCFF143EVF/@@download/ENCFF143EVF.fastq.gz	https://www.encodeproject.org/files/ENCFF143EVF/@@download/ENCFF143EVF.fastq.gz						true
ENCSR000AKP	False	ENCSR000AKY			Histone ChIP-seq	Homo sapiens K562	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	UCSC-ENCODE-hg19:wgEncodeEH000043,SCREEN-GRCh38:K562,GEO:GSM733656	adult 53 years	False	ENCDO000AAD	female	adult	53	year		Homo sapiens	EFO:0002067	K562	cell line	bodily fluid,blood	leukocyte,hematopoietic cell,cancer cell	mesoderm	immune system	K-562,K-562 cell, K562 cell	H3K27ac	H3K27ac (Homo sapiens)	ENCFF845TAO	fastq	reads		single-ended			f7aab67b2ac8ac7621c79a57c7e0ebee	released	1235015106	Illumina HiSeq 2500	3	4	3	3_1	Rep 3	isogenic	https://www.encodeproject.org/files/ENCFF845TAO/@@download/ENCFF845TAO.fastq.gz	https://www.encodeproject.org/files/ENCFF845TAO/@@download/ENCFF845TAO.fastq.gz						true
ENCSR000AKP	False	ENCSR000AKY			Histone ChIP-seq	Homo sapiens K562	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	UCSC-ENCODE-hg19:wgEncodeEH000043,SCREEN-GRCh38:K562,GEO:GSM733656	adult 53 years	False	ENCDO000AAD	female	adult	53	year		Homo sapiens	EFO:0002067	K562	cell line	bodily fluid,blood	leukocyte,hematopoietic cell,cancer cell	mesoderm	immune system	K-562,K-562 cell, K562 cell	H3K27ac	H3K27ac (Homo sapiens)	ENCFF427JJU	fastq	reads		single-ended			e3e046269370a8288a45d01eb6eea8f7	released	1341806845	Illumina HiSeq 2500	3	4	3	3_2	Rep 3	isogenic	https://www.encodeproject.org/files/ENCFF427JJU/@@download/ENCFF427JJU.fastq.gz	https://www.encodeproject.org/files/ENCFF427JJU/@@download/ENCFF427JJU.fastq.gz						true
ENCSR000AKP	False	ENCSR000AKY			Histone ChIP-seq	Homo sapiens K562	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	UCSC-ENCODE-hg19:wgEncodeEH000043,SCREEN-GRCh38:K562,GEO:GSM733656	adult 53 years	False	ENCDO000AAD	female	adult	53	year		Homo sapiens	EFO:0002067	K562	cell line	bodily fluid,blood	leukocyte,hematopoietic cell,cancer cell	mesoderm	immune system	K-562,K-562 cell, K562 cell	H3K27ac	H3K27ac (Homo sapiens)	ENCFF760YTC	fastq	reads		single-ended			1ec8782ad60160d1ef3a7bf2f25e6644	released	1329176395	Illumina HiSeq 2500	3	4	3	3_2	Rep 3	isogenic	https://www.encodeproject.org/files/ENCFF760YTC/@@download/ENCFF760YTC.fastq.gz	https://www.encodeproject.org/files/ENCFF760YTC/@@download/ENCFF760YTC.fastq.gz						true
ENCSR000ALB	False	ENCSR000ALG	ENCFF000BQV		Histone ChIP-seq	Homo sapiens endothelial cell of umbilical vein newborn	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	UCSC-ENCODE-hg19:wgEncodeEH000055,GEO:GSM733691,SCREEN-GRCh38:endothelial_cell_of_umbilical_vein_group_1		False	ENCDO466MPW	unknown	newborn	unknown			Homo sapiens	CL:0002618	endothelial cell of umbilical vein	primary cell	extraembryonic component,placenta,vein,epithelium,vasculature,blood vessel	epithelial cell,endothelial cell	mesoderm	circulatory system,reproductive system		H3K27ac	H3K27ac (Homo sapiens)	ENCFF000BSI	fastq	reads		single-ended			18672cec80497f7a4ca83fa4f1a0c404	released	993071225	Illumina Genome Analyzer IIx	3	3	1	1_1	Rep 1	anisogenic	https://www.encodeproject.org/files/ENCFF000BSI/@@download/ENCFF000BSI.fastq.gz	https://www.encodeproject.org/files/ENCFF000BSI/@@download/ENCFF000BSI.fastq.gz						true
ENCSR000ALB	False	ENCSR000ALG	ENCFF000BQW		Histone ChIP-seq	Homo sapiens endothelial cell of umbilical vein newborn	Bradley Bernstein, Broad	ENCODE2	2011-02-10	released	UCSC-ENCODE-hg19:wgEncodeEH000055,GEO:GSM733691,SCREEN-GRCh38:endothelial_cell_of_umbilical_vein_group_1		False	ENCDO466MPW	unknown	newborn	unknown			Homo sapiens	CL:0002618	endothelial cell of umbilical vein	primary cell	extraembryonic component,placenta,vein,epithelium,vasculature,blood vessel	epithelial cell,endothelial cell	mesoderm	circulatory system,reproductive system		H3K27ac	H3K27ac (Homo sapiens)	ENCFF000BSD	fastq	reads		single-ended			63a4482c1eafbd4450a8431c069978be	released	705264924	Illumina Genome Analyzer II	3	3	2	2_1	Rep 2	anisogenic	https://www.encodeproject.org/files/ENCFF000BSD/@@download/ENCFF000BSD.fastq.gz	https://www.encodeproject.org/files/ENCFF000BSD/@@download/ENCFF000BSD.fastq.gz						true
