sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
ENCSR000AKC,https://www.encodeproject.org/files/ENCFF000ASU/@@download/ENCFF000ASU.fastq.gz,,1,H3K27ac,ENCSR000AKJ,1
ENCSR000AKC,https://www.encodeproject.org/files/ENCFF000ASP/@@download/ENCFF000ASP.fastq.gz,,2,H3K27ac,ENCSR000AKJ,2
ENCSR000AKP,https://www.encodeproject.org/files/ENCFF000BXH/@@download/ENCFF000BXH.fastq.gz,,1,H3K27ac,ENCSR000AKY,1
ENCSR000AKP,https://www.encodeproject.org/files/ENCFF000BXG/@@download/ENCFF000BXG.fastq.gz,,2,H3K27ac,ENCSR000AKY,2
ENCSR000AKP,https://www.encodeproject.org/files/ENCFF143EVF/@@download/ENCFF143EVF.fastq.gz,,3,H3K27ac,ENCSR000AKY,3
ENCSR000AKP,https://www.encodeproject.org/files/ENCFF845TAO/@@download/ENCFF845TAO.fastq.gz,,3,H3K27ac,ENCSR000AKY,3
ENCSR000AKP,https://www.encodeproject.org/files/ENCFF427JJU/@@download/ENCFF427JJU.fastq.gz,,3,H3K27ac,ENCSR000AKY,3
ENCSR000AKP,https://www.encodeproject.org/files/ENCFF760YTC/@@download/ENCFF760YTC.fastq.gz,,3,H3K27ac,ENCSR000AKY,3
ENCSR000ALB,https://www.encodeproject.org/files/ENCFF000BSI/@@download/ENCFF000BSI.fastq.gz,,1,H3K27ac,ENCSR000ALG,1
ENCSR000ALB,https://www.encodeproject.org/files/ENCFF000BSD/@@download/ENCFF000BSD.fastq.gz,,2,H3K27ac,ENCSR000ALG,1
ENCSR000ALK,https://www.encodeproject.org/files/ENCFF000CNN/@@download/ENCFF000CNN.fastq.gz,,1,H3K27ac,ENCSR000ALS,1
ENCSR000ALK,https://www.encodeproject.org/files/ENCFF000CNL/@@download/ENCFF000CNL.fastq.gz,,2,H3K27ac,ENCSR000ALS,1
ENCSR000ALW,https://www.encodeproject.org/files/ENCFF000BIL/@@download/ENCFF000BIL.fastq.gz,,1,H3K27ac,ENCSR000AMN,1
ENCSR000ALW,https://www.encodeproject.org/files/ENCFF000BIM/@@download/ENCFF000BIM.fastq.gz,,2,H3K27ac,ENCSR000AMN,2
ENCSR000AMO,https://www.encodeproject.org/files/ENCFF000BFD/@@download/ENCFF000BFD.fastq.gz,,1,H3K27ac,ENCSR055XHN,1
ENCSR000AMO,https://www.encodeproject.org/files/ENCFF000BFH/@@download/ENCFF000BFH.fastq.gz,,2,H3K27ac,ENCSR055XHN,2
ENCSR000AMO,https://www.encodeproject.org/files/ENCFF130TZW/@@download/ENCFF130TZW.fastq.gz,https://www.encodeproject.org/files/ENCFF087XCQ/@@download/ENCFF087XCQ.fastq.gz,3,H3K27ac,ENCSR055XHN,3
ENCSR000AMO,https://www.encodeproject.org/files/ENCFF515INE/@@download/ENCFF515INE.fastq.gz,https://www.encodeproject.org/files/ENCFF473WTU/@@download/ENCFF473WTU.fastq.gz,3,H3K27ac,ENCSR055XHN,3
ENCSR000AMO,https://www.encodeproject.org/files/ENCFF718PPI/@@download/ENCFF718PPI.fastq.gz,https://www.encodeproject.org/files/ENCFF117UJP/@@download/ENCFF117UJP.fastq.gz,3,H3K27ac,ENCSR055XHN,3
ENCSR000AMO,https://www.encodeproject.org/files/ENCFF834LZS/@@download/ENCFF834LZS.fastq.gz,https://www.encodeproject.org/files/ENCFF193TTD/@@download/ENCFF193TTD.fastq.gz,3,H3K27ac,ENCSR055XHN,3
ENCSR000AMR,https://www.encodeproject.org/files/ENCFF000CRV/@@download/ENCFF000CRV.fastq.gz,,1,H3K27ac,ENCSR000AMZ,1
ENCSR000AMR,https://www.encodeproject.org/files/ENCFF000CRS/@@download/ENCFF000CRS.fastq.gz,,2,H3K27ac,ENCSR000AMZ,2
ENCSR000ANF,https://www.encodeproject.org/files/ENCFF000BLI/@@download/ENCFF000BLI.fastq.gz,,1,H3K27ac,ENCSR000ANN,1
