sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
GSM2671298,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2671298/fastq/SRR5690023_1.fastq.gz,,1,H3K27ac,GSM2671302,1
GSM2671302,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2671302/fastq/SRR5690027_1.fastq.gz,,1,,,
GSM2671299,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2671299/fastq/SRR5690024_1.fastq.gz,,1,H3K27ac,GSM2671303,1
GSM2671303,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2671303/fastq/SRR5690028.fastq.gz,,1,,,
GSM2671300,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2671300/fastq/SRR5690025_1.fastq.gz,,1,H3K27ac,GSM2671304,1
GSM2671304,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2671304/fastq/SRR5690029_1.fastq.gz,,1,,,
GSM2706139,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2706139/fastq/SRR5836463.fastq.gz,,1,H3K27ac,GSM2706140,1
GSM2706140,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2706140/fastq/SRR5836464.fastq.gz,,1,,,
GSM2706141,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2706141/fastq/SRR5836465.fastq.gz,,1,H3K27ac,GSM2706142,1
GSM2706142,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2706142/fastq/SRR5836466.fastq.gz,,1,,,
GSM2706145,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2706145/fastq/SRR5836469.fastq.gz,,1,H3K27ac,GSM2706146,1
GSM2706146,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_human_h3k27ac/GSM2706146/fastq/SRR5836470.fastq.gz,,1,,,
