sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
GSM1371056,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1371056/fastq/SRR1254219.fastq.gz,,1,H3K27ac,GSM1371055,1
GSM1371055,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1371055/fastq/SRR1254218.fastq.gz,,1,,,
GSM1033640,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1033640/fastq/SRR612143.fastq.gz,,1,H3K27ac,GSM1033642,1
GSM1033642,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1033642/fastq/SRR612145.fastq.gz,,1,,,
GSM1033641,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1033641/fastq/SRR612144.fastq.gz,,1,H3K27ac,GSM1033643,1
GSM1033643,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1033643/fastq/SRR612146.fastq.gz,,1,,,
GSM1036134,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1036134/fastq/SRR616650.fastq.gz,,1,H3K27ac,GSM1036117,1
GSM1036117,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1036117/fastq/SRR616633.fastq.gz,,1,,,
GSM1039559,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1039559/fastq/SRR618747.fastq.gz,,1,H3K27ac,GSM1039535,1
GSM1039535,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1039535/fastq/SRR618731.fastq.gz,,1,,,
GSM1039560,/storage/projects/aziz.khan/projects/dbsuper/geo_data/gsm_mouse_h3k27ac/GSM1039560/fastq/SRR618748.fastq.gz,,1,H3K27ac,GSM1039536,1
